invoice_id,date,customer_id,product_id,quantity,unit_price
INV100001,2024-05-28,12681,P013,9,0.83
INV100002,2025-10-22,12575,P015,12,1.66
INV100003,2025-06-14,12751,P008,8,2.8
INV100004,2024-01-26,12415,P003,8,4.84
INV100005,2025-09-19,12564,P011,7,0.82
INV100006,2025-06-03,12663,P011,14,0.82
INV100007,2024-11-03,12640,P001,29,12.72
INV100008,2025-01-19,12447,P012,30,1.69
INV100009,2024-08-19,12107,P005,8,4.76
INV100010,2025-12-12,12269,P012,2,1.66
INV100011,2025-06-19,12271,P005,21,5.15
INV100012,2025-06-03,12015,P003,9,4.81
INV100013,2024-06-12,12764,P015,11,1.63
INV100014,2025-01-23,12645,P015,23,1.71
INV100015,2025-04-28,12543,P012,1,1.64
INV100016,2025-08-07,12315,P013,7,0.86
INV100017,2024-06-24,12148,P001,1,12.91
INV100018,2024-05-25,12717,P001,1,13.0
INV100019,2025-12-14,12069,P012,2,1.66
INV100020,2025-06-30,12680,P002,29,3.07
INV100020,2024-04-19,12252,P004,7,1.57
INV100021,2025-10-11,12089,P014,25,1.91
INV100022,2024-04-10,12775,P011,7,0.84
INV100023,2024-12-25,12262,P015,10,1.69
INV100023,2025-09-08,12515,P008,28,3.02
INV100024,2024-02-01,12446,P009,25,2.94
INV100025,2025-08-02,12221,P012,28,1.66
INV100026,2025-03-22,12001,P009,7,3.02
INV100027,2024-12-22,12502,P002,16,3.05
INV100027,2025-08-29,12355,P014,17,2.04
INV100028,2024-08-07,12716,P004,16,1.72
INV100029,2025-05-17,12713,P009,26,2.9
INV100030,2025-02-08,12763,P002,14,2.81
INV100031,2024-09-26,12438,P015,18,1.63
INV100032,2024-08-27,12471,P003,18,4.74
INV100033,2024-02-04,12356,P010,11,2.02
INV100034,2025-07-21,12759,P006,6,0.56
INV100035,2024-08-24,12129,P006,15,0.56
INV100036,2024-09-30,12308,P013,23,0.86
INV100037,2024-09-10,12740,P006,20,0.53
INV100038,2024-07-12,12264,P012,4,1.68
INV100039,2024-06-03,12151,P013,10,0.84
INV100040,2025-10-15,12109,P005,7,4.93
INV100041,2025-03-23,12710,P004,17,1.62
INV100042,2024-09-20,12618,P012,-13,1.61
INV100043,2025-12-18,12587,P010,24,2.02
INV100044,2025-10-30,12792,P011,23,0.83
INV100045,2024-05-07,12464,P007,11,5.05
INV100046,2024-09-05,12409,P012,23,1.61
INV100047,2025-04-11,12020,P010,28,1.98
INV100047,2024-07-06,12670,P006,-25,0.57
INV100047,2024-04-18,12039,P005,18,5.06
INV100047,2024-07-23,12531,P006,4,0.55
INV100048,2025-05-02,12524,P001,21,12.58
INV100049,2025-04-12,12215,P011,6,0.87
INV100050,2025-09-20,12364,P011,2,0.84
INV100051,2024-03-17,12428,P015,14,1.68
INV100052,2024-04-21,12229,P005,24,5.17
INV100052,2025-02-05,12473,P004,6,1.7
INV100053,2025-10-11,12197,P008,21,2.87
INV100053,2024-12-27,12682,P011,27,0.88
INV100054,2024-10-28,12778,P009,21,3.05
INV100055,2024-08-23,12273,P012,13,1.73
INV100056,2025-05-08,12002,P013,24,0.84
INV100057,2024-11-24,12491,P008,14,2.83
INV100058,2024-06-05,12310,P014,13,2.01
INV100058,2024-05-23,12543,P014,12,1.86
INV100059,2024-03-14,12671,P005,9,4.99
INV100060,2024-07-09,12794,P008,12,2.86
INV100061,2025-07-01,12171,P010,29,2.04
INV100062,2025-07-15,12651,P014,10,1.99
INV100063,2025-03-25,12687,P015,4,1.61
INV100064,2024-05-22,12484,P008,18,2.94
INV100065,2025-05-18,12252,P008,6,3.06
INV100066,2024-11-24,12479,P012,19,1.62
INV100067,2025-03-12,12428,P011,3,0.84
INV100068,2024-01-22,12624,P001,22,13.39
INV100069,2024-04-06,12522,P008,16,2.85
INV100070,2025-03-01,12640,P003,11,4.72
INV100071,2025-06-22,12567,P013,30,0.84
INV100072,2025-07-21,12053,P014,10,2.01
INV100073,2025-05-30,12278,P014,17,1.89
INV100074,2024-04-30,12338,P004,11,1.59
INV100074,2024-03-30,12041,P007,24,4.9
INV100075,2025-02-12,12307,P002,1,3.04
INV100076,2025-11-04,12061,P013,17,0.86
INV100077,2025-10-03,12689,P012,23,1.68
INV100078,2025-11-14,12648,P008,21,2.83
INV100079,2024-02-07,12431,P013,4,0.86
INV100080,2024-05-22,12316,P009,23,2.89
INV100081,2024-11-22,12020,P007,19,5.16
INV100082,2025-08-04,12534,P001,27,13.15
INV100083,2025-02-18,12457,P002,1,2.98
INV100083,2025-11-06,12159,P008,25,2.83
INV100084,2024-08-05,12155,P011,1,0.81
INV100085,2024-03-31,12223,P014,4,1.86
INV100086,2024-09-05,12461,P012,24,1.58
INV100087,2025-12-31,12711,P014,5,1.87
INV100088,2025-12-27,12510,P008,22,2.88
INV100088,2024-02-02,12011,P001,1,12.99
INV100089,2025-02-02,12318,P005,24,5.18
INV100090,2025-09-15,12061,P006,12,0.56
INV100091,2024-06-19,12148,P013,4,0.86
INV100092,2025-03-03,12488,P007,25,5.17
INV100093,2025-08-03,12341,P005,9,5.18
INV100094,2025-09-06,12340,P014,20,1.86
INV100095,2024-11-12,12598,P007,29,4.89
INV100096,2024-08-27,12462,P005,-23,4.83
INV100097,2025-08-23,12781,P015,26,1.7
INV100098,2025-08-08,12150,P005,28,4.97
INV100099,2025-05-26,12355,P009,3,2.95
INV100100,2024-08-27,12316,P010,2,1.94
INV100101,2024-09-17,12600,P013,1,0.85
INV100102,2024-12-29,12790,P002,8,2.96
INV100103,2025-06-18,12328,P008,17,2.86
INV100104,2024-07-04,12717,P005,12,4.88
INV100105,2024-06-01,12252,P001,30,12.59
INV100106,2025-10-09,12474,P013,3,0.86
INV100107,2025-06-15,12621,P001,4,13.38
INV100108,2025-05-12,12600,P010,7,2.0
INV100109,2025-04-02,12785,P010,27,1.88
INV100110,2024-12-12,12205,P003,13,4.44
INV100111,2025-12-23,12469,P008,28,2.82
INV100112,2025-02-10,12122,P012,3,1.66
INV100113,2025-11-16,12518,P007,6,4.78
INV100113,2024-08-15,12176,P001,9,12.19
INV100114,2024-01-29,12048,P005,26,5.07
INV100115,2025-05-10,12057,P002,5,2.8
INV100116,2024-11-01,12603,P010,15,1.87
INV100117,2024-09-20,12399,P002,12,2.85
INV100118,2024-05-26,12693,P015,1,1.72
INV100119,2024-06-09,12225,P002,30,2.91
INV100120,2025-04-02,12099,P015,30,1.57
INV100121,2024-12-13,12330,P014,8,1.97
INV100122,2024-08-14,12753,P001,6,12.82
INV100123,2024-06-01,12272,P007,14,4.72
INV100124,2024-10-30,12342,P013,6,0.82
INV100125,2025-05-09,12116,P003,17,4.83
INV100126,2024-08-04,12573,P008,27,2.88
INV100127,2025-01-08,12442,P005,8,4.75
INV100128,2024-06-15,12058,P014,24,1.88
INV100129,2025-03-28,12519,P006,17,0.52
INV100130,2025-06-23,12293,P003,12,4.84
INV100131,2025-08-08,12185,P003,27,4.78
INV100132,2024-07-20,12615,P002,27,2.98
INV100133,2024-10-07,12179,P004,5,1.68
INV100134,2025-08-19,12315,P004,1,1.69
INV100135,2024-02-26,12530,P013,12,0.88
INV100136,2025-05-19,12092,P001,14,12.72
INV100137,2024-09-29,12254,P003,19,4.59
INV100138,2025-01-15,12588,P010,-28,1.95
INV100139,2025-06-12,12073,P002,12,3.04
INV100140,2024-11-24,12797,P012,28,1.69
INV100141,2024-04-20,12748,P008,15,2.96
INV100142,2024-01-22,12249,P002,8,2.85
INV100143,2025-07-22,12030,P001,4,13.05
INV100144,2025-09-05,12652,P010,15,1.99
INV100145,2024-04-06,12734,P003,2,4.63
INV100146,2024-10-13,12112,P002,4,2.84
INV100147,2024-08-20,12150,P011,19,0.84
INV100147,2024-01-19,12650,P007,23,5.12
INV100148,2025-02-09,12053,P013,12,0.83
INV100149,2025-03-22,12577,P013,30,0.84
